sector.name,subsector.name,technology,year,minicam.energy.input,coefficient
iron and steel,BLASTFUR,Biomass-based,1975,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,1990,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2005,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2015,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2020,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2025,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2030,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2035,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2040,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2045,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2050,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2055,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2060,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2065,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2070,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2075,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2080,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2085,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2090,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2095,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2100,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,1975,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,1990,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2005,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2015,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2020,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2025,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2030,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2035,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2040,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2045,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2050,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2055,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2060,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2065,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2070,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2075,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2080,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2085,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2090,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2095,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2100,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,1975,refined liquids industrial,1e-5
iron and steel,BLASTFUR,Biomass-based,1990,refined liquids industrial,1e-5
iron and steel,BLASTFUR,Biomass-based,2005,refined liquids industrial,1e-5
iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,1e-5
iron and steel,BLASTFUR,Biomass-based,2015,refined liquids industrial,1e-5
iron and steel,BLASTFUR,Biomass-based,2020,refined liquids industrial,1e-5
