sector.name,subsector.name,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
elect_td_bld,rooftop_pv,rooftop_pv,1975,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,1990,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2005,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2010,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2015,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2020,capital,621,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2025,capital,391,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2030,capital,276,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2035,capital,219,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2040,capital,191,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2045,capital,177,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2050,capital,169,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2055,capital,166,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2060,capital,164,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2065,capital,163,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2070,capital,163,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2075,capital,163,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2080,capital,163,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2085,capital,162,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2090,capital,162,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2095,capital,162,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2100,capital,162,0.1
electricity,solar,CSP,1975,capital,1362,0.13
electricity,solar,CSP,1990,capital,1362,0.13
electricity,solar,CSP,2005,capital,1362,0.13
electricity,solar,CSP,2010,capital,1362,0.13
electricity,solar,CSP,2015,capital,1362,0.13
electricity,solar,CSP,2020,capital,916,0.13
electricity,solar,CSP,2025,capital,652,0.13
electricity,solar,CSP,2030,capital,497,0.13
electricity,solar,CSP,2035,capital,405,0.13
electricity,solar,CSP,2040,capital,351,0.13
electricity,solar,CSP,2045,capital,319,0.13
electricity,solar,CSP,2050,capital,300,0.13
electricity,solar,CSP,2055,capital,289,0.13
electricity,solar,CSP,2060,capital,282,0.13
electricity,solar,CSP,2065,capital,278,0.13
electricity,solar,CSP,2070,capital,276,0.13
electricity,solar,CSP,2075,capital,274,0.13
electricity,solar,CSP,2080,capital,274,0.13
electricity,solar,CSP,2085,capital,273,0.13
electricity,solar,CSP,2090,capital,273,0.13
electricity,solar,CSP,2095,capital,273,0.13
electricity,solar,CSP,2100,capital,273,0.13
electricity,solar,PV,1975,capital,667,0.13
electricity,solar,PV,1990,capital,667,0.13
electricity,solar,PV,2005,capital,667,0.13
electricity,solar,PV,2010,capital,667,0.13
electricity,solar,PV,2015,capital,667,0.13
electricity,solar,PV,2020,capital,402,0.13
electricity,solar,PV,2025,capital,263,0.13
electricity,solar,PV,2030,capital,189,0.13
electricity,solar,PV,2035,capital,150,0.13
electricity,solar,PV,2040,capital,130,0.13
electricity,solar,PV,2045,capital,119,0.13
electricity,solar,PV,2050,capital,113,0.13
electricity,solar,PV,2055,capital,110,0.13
electricity,solar,PV,2060,capital,108,0.13
electricity,solar,PV,2065,capital,108,0.13
electricity,solar,PV,2070,capital,107,0.13
electricity,solar,PV,2075,capital,107,0.13
electricity,solar,PV,2080,capital,107,0.13
electricity,solar,PV,2085,capital,107,0.13
electricity,solar,PV,2090,capital,107,0.13
electricity,solar,PV,2095,capital,107,0.13
