sector.name,subsector.name,intermittent.technology,year,input.OM.fixed,OM.fixed
elect_td_bld,rooftop_pv,rooftop_pv,1975,OM-fixed,7.16
elect_td_bld,rooftop_pv,rooftop_pv,1990,OM-fixed,7.16
elect_td_bld,rooftop_pv,rooftop_pv,2005,OM-fixed,7.16
elect_td_bld,rooftop_pv,rooftop_pv,2010,OM-fixed,7.16
elect_td_bld,rooftop_pv,rooftop_pv,2015,OM-fixed,7.16
elect_td_bld,rooftop_pv,rooftop_pv,2020,OM-fixed,5.6
elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-fixed,4.62
elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-fixed,4.02
elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-fixed,3.64
elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-fixed,3.4
elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-fixed,3.25
elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-fixed,3.16
elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-fixed,3.1
elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-fixed,3.07
elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-fixed,3.04
elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-fixed,3.03
elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-fixed,3.02
elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-fixed,3.02
elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-fixed,3.01
elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-fixed,3.01
elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-fixed,3.01
elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-fixed,3.01
electricity,solar,CSP,1975,OM-fixed,15.92
electricity,solar,CSP,1990,OM-fixed,15.92
electricity,solar,CSP,2005,OM-fixed,15.92
electricity,solar,CSP,2010,OM-fixed,15.92
electricity,solar,CSP,2015,OM-fixed,15.92
electricity,solar,CSP,2020,OM-fixed,13.22
electricity,solar,CSP,2025,OM-fixed,12.21
electricity,solar,CSP,2030,OM-fixed,11.84
electricity,solar,CSP,2035,OM-fixed,11.7
electricity,solar,CSP,2040,OM-fixed,11.65
electricity,solar,CSP,2045,OM-fixed,11.63
electricity,solar,CSP,2050,OM-fixed,11.63
electricity,solar,CSP,2055,OM-fixed,11.62
electricity,solar,CSP,2060,OM-fixed,11.62
electricity,solar,CSP,2065,OM-fixed,11.62
electricity,solar,CSP,2070,OM-fixed,11.62
electricity,solar,CSP,2075,OM-fixed,11.62
electricity,solar,CSP,2080,OM-fixed,11.62
electricity,solar,CSP,2085,OM-fixed,11.62
electricity,solar,CSP,2090,OM-fixed,11.62
electricity,solar,CSP,2095,OM-fixed,11.62
electricity,solar,CSP,2100,OM-fixed,11.62
electricity,solar,PV,1975,OM-fixed,4.36
electricity,solar,PV,1990,OM-fixed,4.36
electricity,solar,PV,2005,OM-fixed,4.36
electricity,solar,PV,2010,OM-fixed,4.36
electricity,solar,PV,2015,OM-fixed,4.36
electricity,solar,PV,2020,OM-fixed,3.89
electricity,solar,PV,2025,OM-fixed,3.55
electricity,solar,PV,2030,OM-fixed,3.3
electricity,solar,PV,2035,OM-fixed,3.12
electricity,solar,PV,2040,OM-fixed,2.99
electricity,solar,PV,2045,OM-fixed,2.89
electricity,solar,PV,2050,OM-fixed,2.82
electricity,solar,PV,2055,OM-fixed,2.76
electricity,solar,PV,2060,OM-fixed,2.72
electricity,solar,PV,2065,OM-fixed,2.69
electricity,solar,PV,2070,OM-fixed,2.67
electricity,solar,PV,2075,OM-fixed,2.66
electricity,solar,PV,2080,OM-fixed,2.65
electricity,solar,PV,2085,OM-fixed,2.64
electricity,solar,PV,2090,OM-fixed,2.63
electricity,solar,PV,2095,OM-fixed,2.63
electricity,solar,PV,2100,OM-fixed,2.62
electricity,wind,wind,1975,OM-fixed,14.54
electricity,wind,wind,1990,OM-fixed,14.54
electricity,wind,wind,2005,OM-fixed,14.54
electricity,wind,wind,2010,OM-fixed,14.54
electricity,wind,wind,2015,OM-fixed,14.54
electricity,wind,wind,2020,OM-fixed,12.9
electricity,wind,wind,2025,OM-fixed,11.76
electricity,wind,wind,2030,OM-fixed,10.97
