sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate
electricity,biomass,biomass (conv CCS),1975,capital,1716,0.13
electricity,biomass,biomass (conv CCS),1990,capital,1716,0.13
electricity,biomass,biomass (conv CCS),2005,capital,1716,0.13
electricity,biomass,biomass (conv CCS),2010,capital,1716,0.13
electricity,biomass,biomass (conv CCS),2015,capital,1716,0.13
electricity,biomass,biomass (conv CCS),2020,capital,1652,0.13
electricity,biomass,biomass (conv CCS),2025,capital,1594,0.13
electricity,biomass,biomass (conv CCS),2030,capital,1541,0.13
electricity,biomass,biomass (conv CCS),2035,capital,1494,0.13
electricity,biomass,biomass (conv CCS),2040,capital,1451,0.13
electricity,biomass,biomass (conv CCS),2045,capital,1412,0.13
electricity,biomass,biomass (conv CCS),2050,capital,1377,0.13
electricity,biomass,biomass (conv CCS),2055,capital,1345,0.13
electricity,biomass,biomass (conv CCS),2060,capital,1317,0.13
electricity,biomass,biomass (conv CCS),2065,capital,1291,0.13
electricity,biomass,biomass (conv CCS),2070,capital,1267,0.13
electricity,biomass,biomass (conv CCS),2075,capital,1246,0.13
electricity,biomass,biomass (conv CCS),2080,capital,1227,0.13
electricity,biomass,biomass (conv CCS),2085,capital,1210,0.13
electricity,biomass,biomass (conv CCS),2090,capital,1194,0.13
electricity,biomass,biomass (conv CCS),2095,capital,1180,0.13
electricity,biomass,biomass (conv CCS),2100,capital,1167,0.13
electricity,biomass,biomass (conv),1975,capital,1065,0.13
electricity,biomass,biomass (conv),1990,capital,1065,0.13
electricity,biomass,biomass (conv),2005,capital,1065,0.13
electricity,biomass,biomass (conv),2010,capital,1065,0.13
electricity,biomass,biomass (conv),2015,capital,1065,0.13
electricity,biomass,biomass (conv),2020,capital,1042,0.13
electricity,biomass,biomass (conv),2025,capital,1021,0.13
electricity,biomass,biomass (conv),2030,capital,1001,0.13
electricity,biomass,biomass (conv),2035,capital,984,0.13
electricity,biomass,biomass (conv),2040,capital,968,0.13
electricity,biomass,biomass (conv),2045,capital,954,0.13
electricity,biomass,biomass (conv),2050,capital,941,0.13
electricity,biomass,biomass (conv),2055,capital,930,0.13
electricity,biomass,biomass (conv),2060,capital,919,0.13
electricity,biomass,biomass (conv),2065,capital,910,0.13
electricity,biomass,biomass (conv),2070,capital,901,0.13
electricity,biomass,biomass (conv),2075,capital,893,0.13
electricity,biomass,biomass (conv),2080,capital,886,0.13
electricity,biomass,biomass (conv),2085,capital,880,0.13
electricity,biomass,biomass (conv),2090,capital,874,0.13
electricity,biomass,biomass (conv),2095,capital,869,0.13
electricity,biomass,biomass (conv),2100,capital,864,0.13
electricity,biomass,biomass (IGCC CCS),1975,capital,2182,0.13
electricity,biomass,biomass (IGCC CCS),1990,capital,2182,0.13
electricity,biomass,biomass (IGCC CCS),2005,capital,2182,0.13
electricity,biomass,biomass (IGCC CCS),2010,capital,2182,0.13
electricity,biomass,biomass (IGCC CCS),2015,capital,2182,0.13
electricity,biomass,biomass (IGCC CCS),2020,capital,2073,0.13
electricity,biomass,biomass (IGCC CCS),2025,capital,1974,0.13
electricity,biomass,biomass (IGCC CCS),2030,capital,1885,0.13
electricity,biomass,biomass (IGCC CCS),2035,capital,1805,0.13
electricity,biomass,biomass (IGCC CCS),2040,capital,1732,0.13
electricity,biomass,biomass (IGCC CCS),2045,capital,1666,0.13
electricity,biomass,biomass (IGCC CCS),2050,capital,1607,0.13
electricity,biomass,biomass (IGCC CCS),2055,capital,1553,0.13
electricity,biomass,biomass (IGCC CCS),2060,capital,1504,0.13
electricity,biomass,biomass (IGCC CCS),2065,capital,1460,0.13
electricity,biomass,biomass (IGCC CCS),2070,capital,1421,0.13
