region,supplysector,subsector,stub.technology,year,capacity.factor
USA,electricity,wind,wind_storage,1975,0.46
USA,electricity,wind,wind_storage,1990,0.46
USA,electricity,wind,wind_storage,2005,0.46
USA,electricity,wind,wind_storage,2010,0.46
USA,electricity,wind,wind_storage,2015,0.46
USA,electricity,wind,wind_storage,2020,0.46
USA,electricity,wind,wind_storage,2025,0.46
USA,electricity,wind,wind_storage,2030,0.46
USA,electricity,wind,wind_storage,2035,0.46
USA,electricity,wind,wind_storage,2040,0.46
USA,electricity,wind,wind_storage,2045,0.46
USA,electricity,wind,wind_storage,2050,0.46
USA,electricity,wind,wind_storage,2055,0.46
USA,electricity,wind,wind_storage,2060,0.46
USA,electricity,wind,wind_storage,2065,0.46
USA,electricity,wind,wind_storage,2070,0.46
USA,electricity,wind,wind_storage,2075,0.46
USA,electricity,wind,wind_storage,2080,0.46
USA,electricity,wind,wind_storage,2085,0.46
USA,electricity,wind,wind_storage,2090,0.46
USA,electricity,wind,wind_storage,2095,0.46
USA,electricity,wind,wind_storage,2100,0.46
Africa_Eastern,electricity,wind,wind_storage,1975,0.41
Africa_Eastern,electricity,wind,wind_storage,1990,0.41
Africa_Eastern,electricity,wind,wind_storage,2005,0.41
Africa_Eastern,electricity,wind,wind_storage,2010,0.41
Africa_Eastern,electricity,wind,wind_storage,2015,0.41
Africa_Eastern,electricity,wind,wind_storage,2020,0.41
Africa_Eastern,electricity,wind,wind_storage,2025,0.41
Africa_Eastern,electricity,wind,wind_storage,2030,0.41
Africa_Eastern,electricity,wind,wind_storage,2035,0.41
Africa_Eastern,electricity,wind,wind_storage,2040,0.41
Africa_Eastern,electricity,wind,wind_storage,2045,0.41
Africa_Eastern,electricity,wind,wind_storage,2050,0.41
Africa_Eastern,electricity,wind,wind_storage,2055,0.41
Africa_Eastern,electricity,wind,wind_storage,2060,0.41
Africa_Eastern,electricity,wind,wind_storage,2065,0.41
Africa_Eastern,electricity,wind,wind_storage,2070,0.41
Africa_Eastern,electricity,wind,wind_storage,2075,0.41
Africa_Eastern,electricity,wind,wind_storage,2080,0.41
Africa_Eastern,electricity,wind,wind_storage,2085,0.41
Africa_Eastern,electricity,wind,wind_storage,2090,0.41
Africa_Eastern,electricity,wind,wind_storage,2095,0.41
Africa_Eastern,electricity,wind,wind_storage,2100,0.41
Africa_Northern,electricity,wind,wind_storage,1975,0.46
Africa_Northern,electricity,wind,wind_storage,1990,0.46
Africa_Northern,electricity,wind,wind_storage,2005,0.46
Africa_Northern,electricity,wind,wind_storage,2010,0.46
Africa_Northern,electricity,wind,wind_storage,2015,0.46
Africa_Northern,electricity,wind,wind_storage,2020,0.46
Africa_Northern,electricity,wind,wind_storage,2025,0.46
Africa_Northern,electricity,wind,wind_storage,2030,0.46
Africa_Northern,electricity,wind,wind_storage,2035,0.46
Africa_Northern,electricity,wind,wind_storage,2040,0.46
Africa_Northern,electricity,wind,wind_storage,2045,0.46
Africa_Northern,electricity,wind,wind_storage,2050,0.46
Africa_Northern,electricity,wind,wind_storage,2055,0.46
Africa_Northern,electricity,wind,wind_storage,2060,0.46
Africa_Northern,electricity,wind,wind_storage,2065,0.46
Africa_Northern,electricity,wind,wind_storage,2070,0.46
Africa_Northern,electricity,wind,wind_storage,2075,0.46
Africa_Northern,electricity,wind,wind_storage,2080,0.46
Africa_Northern,electricity,wind,wind_storage,2085,0.46
Africa_Northern,electricity,wind,wind_storage,2090,0.46
Africa_Northern,electricity,wind,wind_storage,2095,0.46
Africa_Northern,electricity,wind,wind_storage,2100,0.46
Africa_Southern,electricity,wind,wind_storage,1975,0.34
Africa_Southern,electricity,wind,wind_storage,1990,0.34
Africa_Southern,electricity,wind,wind_storage,2005,0.34
Africa_Southern,electricity,wind,wind_storage,2010,0.34
Africa_Southern,electricity,wind,wind_storage,2015,0.34
Africa_Southern,electricity,wind,wind_storage,2020,0.34
Africa_Southern,electricity,wind,wind_storage,2025,0.34
Africa_Southern,electricity,wind,wind_storage,2030,0.34
Africa_Southern,electricity,wind,wind_storage,2035,0.34
Africa_Southern,electricity,wind,wind_storage,2040,0.34
Africa_Southern,electricity,wind,wind_storage,2045,0.34
Africa_Southern,electricity,wind,wind_storage,2050,0.34
Africa_Southern,electricity,wind,wind_storage,2055,0.34
Africa_Southern,electricity,wind,wind_storage,2060,0.34
Africa_Southern,electricity,wind,wind_storage,2065,0.34
Africa_Southern,electricity,wind,wind_storage,2070,0.34
Africa_Southern,electricity,wind,wind_storage,2075,0.34
Africa_Southern,electricity,wind,wind_storage,2080,0.34
Africa_Southern,electricity,wind,wind_storage,2085,0.34
Africa_Southern,electricity,wind,wind_storage,2090,0.34
Africa_Southern,electricity,wind,wind_storage,2095,0.34
Africa_Southern,electricity,wind,wind_storage,2100,0.34
Africa_Western,electricity,wind,wind_storage,1975,0.42
Africa_Western,electricity,wind,wind_storage,1990,0.42
Africa_Western,electricity,wind,wind_storage,2005,0.42
Africa_Western,electricity,wind,wind_storage,2010,0.42
Africa_Western,electricity,wind,wind_storage,2015,0.42
Africa_Western,electricity,wind,wind_storage,2020,0.42
Africa_Western,electricity,wind,wind_storage,2025,0.42
Africa_Western,electricity,wind,wind_storage,2030,0.42
Africa_Western,electricity,wind,wind_storage,2035,0.42
Africa_Western,electricity,wind,wind_storage,2040,0.42
Africa_Western,electricity,wind,wind_storage,2045,0.42
Africa_Western,electricity,wind,wind_storage,2050,0.42
Africa_Western,electricity,wind,wind_storage,2055,0.42
Africa_Western,electricity,wind,wind_storage,2060,0.42
Africa_Western,electricity,wind,wind_storage,2065,0.42
Africa_Western,electricity,wind,wind_storage,2070,0.42
Africa_Western,electricity,wind,wind_storage,2075,0.42
Africa_Western,electricity,wind,wind_storage,2080,0.42
