sector.name,subsector.name,technology,minicam.energy.input,units,year,coefficient
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,1975,0.0293653
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,1990,0.0293653
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2005,0.0293653
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2010,0.0293653
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2015,0.0293653
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2020,0.0291457
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2025,0.0289278
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2030,0.0287115
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2035,0.0284969
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2040,0.0282838
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2045,0.0280724
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2050,0.0278625
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2055,0.0276542
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2060,0.0274474
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2065,0.0272422
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2070,0.0270385
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2075,0.0268364
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2080,0.0266358
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2085,0.0264366
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2090,0.026239
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2095,0.0260428
H2 central production,biomass,biomass to H2,elect_td_ind,GJ input / GJ H2,2100,0.0258481
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,1975,2.1939938
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,1990,2.1939938
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2005,2.1939938
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2010,2.1939938
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2015,2.1939938
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2020,2.1787772
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2025,2.163666
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2030,2.1486597
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2035,2.1337574
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2040,2.1189585
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2045,2.1042622
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2050,2.0896679
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2055,2.0751748
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2060,2.0607822
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2065,2.0464894
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2070,2.0322957
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2075,2.0182005
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2080,2.0042031
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2085,1.9903027
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2090,1.9764987
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2095,1.9627905
H2 central production,biomass,biomass to H2,regional biomass,GJ input / GJ H2,2100,1.9491773
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,1975,0.0517428
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,1990,0.0517428
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2005,0.0517428
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2010,0.0517428
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2015,0.0517428
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2020,0.0450447
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2025,0.0392137
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2030,0.0341375
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2035,0.0297184
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2040,0.0258714
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2045,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2050,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2055,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2060,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2065,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2070,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2075,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2080,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2085,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2090,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2095,0.0246394
H2 central production,biomass,biomass to H2,regional natural gas,GJ input / GJ H2,2100,0.0246394
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,1975,0.1030951
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,1990,0.1030951
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2005,0.1030951
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2010,0.1030951
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2015,0.1030951
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2020,0.1025471
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2025,0.1020019
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2030,0.1014597
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2035,0.1009204
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2040,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2045,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2050,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2055,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2060,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2065,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2070,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2075,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2080,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2085,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2090,0.1003839
H2 central production,biomass,biomass to H2,water_td_ind_C,M3 water / GJ H2,2095,0.1003839
