sector.name,subsector.name,technology,year,share.weight
H2 central production,biomass,biomass to H2,1975,1
H2 central production,biomass,biomass to H2,1990,1
H2 central production,biomass,biomass to H2,2005,1
H2 central production,biomass,biomass to H2,2010,1
H2 central production,biomass,biomass to H2,2015,1
H2 central production,biomass,biomass to H2,2020,1
H2 central production,biomass,biomass to H2,2025,1
H2 central production,biomass,biomass to H2,2030,1
H2 central production,biomass,biomass to H2,2035,1
H2 central production,biomass,biomass to H2,2040,1
H2 central production,biomass,biomass to H2,2045,1
H2 central production,biomass,biomass to H2,2050,1
H2 central production,biomass,biomass to H2,2055,1
H2 central production,biomass,biomass to H2,2060,1
H2 central production,biomass,biomass to H2,2065,1
H2 central production,biomass,biomass to H2,2070,1
H2 central production,biomass,biomass to H2,2075,1
H2 central production,biomass,biomass to H2,2080,1
H2 central production,biomass,biomass to H2,2085,1
H2 central production,biomass,biomass to H2,2090,1
H2 central production,biomass,biomass to H2,2095,1
H2 central production,biomass,biomass to H2,2100,1
H2 central production,biomass,biomass to H2 CCS,1975,0
H2 central production,biomass,biomass to H2 CCS,1990,0
H2 central production,biomass,biomass to H2 CCS,2005,0
H2 central production,biomass,biomass to H2 CCS,2010,0
H2 central production,biomass,biomass to H2 CCS,2015,0
H2 central production,biomass,biomass to H2 CCS,2020,0
H2 central production,biomass,biomass to H2 CCS,2025,0.5
H2 central production,biomass,biomass to H2 CCS,2030,1
H2 central production,biomass,biomass to H2 CCS,2035,1
H2 central production,biomass,biomass to H2 CCS,2040,1
H2 central production,biomass,biomass to H2 CCS,2045,1
H2 central production,biomass,biomass to H2 CCS,2050,1
H2 central production,biomass,biomass to H2 CCS,2055,1
H2 central production,biomass,biomass to H2 CCS,2060,1
H2 central production,biomass,biomass to H2 CCS,2065,1
H2 central production,biomass,biomass to H2 CCS,2070,1
H2 central production,biomass,biomass to H2 CCS,2075,1
H2 central production,biomass,biomass to H2 CCS,2080,1
H2 central production,biomass,biomass to H2 CCS,2085,1
H2 central production,biomass,biomass to H2 CCS,2090,1
H2 central production,biomass,biomass to H2 CCS,2095,1
H2 central production,biomass,biomass to H2 CCS,2100,1
H2 central production,coal,coal chemical,1975,0
H2 central production,coal,coal chemical,1990,0
H2 central production,coal,coal chemical,2005,0
H2 central production,coal,coal chemical,2010,0
H2 central production,coal,coal chemical,2015,0
H2 central production,coal,coal chemical,2020,0
H2 central production,coal,coal chemical,2025,0
H2 central production,coal,coal chemical,2030,0
H2 central production,coal,coal chemical,2035,0
H2 central production,coal,coal chemical,2040,0
H2 central production,coal,coal chemical,2045,0
H2 central production,coal,coal chemical,2050,0
H2 central production,coal,coal chemical,2055,0
H2 central production,coal,coal chemical,2060,0
H2 central production,coal,coal chemical,2065,0
H2 central production,coal,coal chemical,2070,0
H2 central production,coal,coal chemical,2075,0
H2 central production,coal,coal chemical,2080,0
H2 central production,coal,coal chemical,2085,0
H2 central production,coal,coal chemical,2090,0
H2 central production,coal,coal chemical,2095,0
H2 central production,coal,coal chemical,2100,0
H2 central production,coal,coal chemical CCS,1975,0
H2 central production,coal,coal chemical CCS,1990,0
H2 central production,coal,coal chemical CCS,2005,0
H2 central production,coal,coal chemical CCS,2010,0
H2 central production,coal,coal chemical CCS,2015,0
H2 central production,coal,coal chemical CCS,2020,0
H2 central production,coal,coal chemical CCS,2025,0.5
H2 central production,coal,coal chemical CCS,2030,1
H2 central production,coal,coal chemical CCS,2035,1
H2 central production,coal,coal chemical CCS,2040,1
