region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
Africa_Eastern,H2 central production,solar,electrolysis,1975,electrolyzer,5.7706
Africa_Eastern,H2 central production,solar,electrolysis,1990,electrolyzer,5.7706
Africa_Eastern,H2 central production,solar,electrolysis,2005,electrolyzer,5.7706
Africa_Eastern,H2 central production,solar,electrolysis,2010,electrolyzer,5.7706
Africa_Eastern,H2 central production,solar,electrolysis,2015,electrolyzer,5.7706
Africa_Eastern,H2 central production,solar,electrolysis,2020,electrolyzer,5.1121
Africa_Eastern,H2 central production,solar,electrolysis,2025,electrolyzer,4.4535
Africa_Eastern,H2 central production,solar,electrolysis,2030,electrolyzer,3.7949
Africa_Eastern,H2 central production,solar,electrolysis,2035,electrolyzer,3.1363
Africa_Eastern,H2 central production,solar,electrolysis,2040,electrolyzer,2.4777
Africa_Eastern,H2 central production,solar,electrolysis,2045,electrolyzer,2.1928
Africa_Eastern,H2 central production,solar,electrolysis,2050,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2055,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2060,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2065,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2070,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2075,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2080,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2085,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2090,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2095,electrolyzer,1.9079
Africa_Eastern,H2 central production,solar,electrolysis,2100,electrolyzer,1.9079
Africa_Eastern,H2 central production,wind,electrolysis,1975,electrolyzer,4.0003
Africa_Eastern,H2 central production,wind,electrolysis,1990,electrolyzer,4.0003
Africa_Eastern,H2 central production,wind,electrolysis,2005,electrolyzer,4.0003
Africa_Eastern,H2 central production,wind,electrolysis,2010,electrolyzer,4.0003
Africa_Eastern,H2 central production,wind,electrolysis,2015,electrolyzer,4.0003
Africa_Eastern,H2 central production,wind,electrolysis,2020,electrolyzer,3.5465
Africa_Eastern,H2 central production,wind,electrolysis,2025,electrolyzer,3.0926
Africa_Eastern,H2 central production,wind,electrolysis,2030,electrolyzer,2.6387
Africa_Eastern,H2 central production,wind,electrolysis,2035,electrolyzer,2.1849
Africa_Eastern,H2 central production,wind,electrolysis,2040,electrolyzer,1.731
Africa_Eastern,H2 central production,wind,electrolysis,2045,electrolyzer,1.532
Africa_Eastern,H2 central production,wind,electrolysis,2050,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2055,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2060,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2065,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2070,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2075,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2080,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2085,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2090,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2095,electrolyzer,1.3329
Africa_Eastern,H2 central production,wind,electrolysis,2100,electrolyzer,1.3329
Africa_Northern,H2 central production,solar,electrolysis,1975,electrolyzer,5.8146
Africa_Northern,H2 central production,solar,electrolysis,1990,electrolyzer,5.8146
Africa_Northern,H2 central production,solar,electrolysis,2005,electrolyzer,5.8146
Africa_Northern,H2 central production,solar,electrolysis,2010,electrolyzer,5.8146
Africa_Northern,H2 central production,solar,electrolysis,2015,electrolyzer,5.8146
Africa_Northern,H2 central production,solar,electrolysis,2020,electrolyzer,5.1509
Africa_Northern,H2 central production,solar,electrolysis,2025,electrolyzer,4.4873
Africa_Northern,H2 central production,solar,electrolysis,2030,electrolyzer,3.8236
Africa_Northern,H2 central production,solar,electrolysis,2035,electrolyzer,3.1599
Africa_Northern,H2 central production,solar,electrolysis,2040,electrolyzer,2.4963
Africa_Northern,H2 central production,solar,electrolysis,2045,electrolyzer,2.2092
Africa_Northern,H2 central production,solar,electrolysis,2050,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2055,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2060,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2065,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2070,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2075,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2080,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2085,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2090,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2095,electrolyzer,1.9221
Africa_Northern,H2 central production,solar,electrolysis,2100,electrolyzer,1.9221
Africa_Northern,H2 central production,wind,electrolysis,1975,electrolyzer,3.5746000000000002
Africa_Northern,H2 central production,wind,electrolysis,1990,electrolyzer,3.5746000000000002
Africa_Northern,H2 central production,wind,electrolysis,2005,electrolyzer,3.5746000000000002
Africa_Northern,H2 central production,wind,electrolysis,2010,electrolyzer,3.5746000000000002
Africa_Northern,H2 central production,wind,electrolysis,2015,electrolyzer,3.5746000000000002
Africa_Northern,H2 central production,wind,electrolysis,2020,electrolyzer,3.17
Africa_Northern,H2 central production,wind,electrolysis,2025,electrolyzer,2.7654
Africa_Northern,H2 central production,wind,electrolysis,2030,electrolyzer,2.3607
Africa_Northern,H2 central production,wind,electrolysis,2035,electrolyzer,1.9561
Africa_Northern,H2 central production,wind,electrolysis,2040,electrolyzer,1.5515
Africa_Northern,H2 central production,wind,electrolysis,2045,electrolyzer,1.3731
Africa_Northern,H2 central production,wind,electrolysis,2050,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2055,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2060,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2065,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2070,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2075,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2080,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2085,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2090,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2095,electrolyzer,1.1946
Africa_Northern,H2 central production,wind,electrolysis,2100,electrolyzer,1.1946
Africa_Southern,H2 central production,solar,electrolysis,1975,electrolyzer,5.9114
Africa_Southern,H2 central production,solar,electrolysis,1990,electrolyzer,5.9114
Africa_Southern,H2 central production,solar,electrolysis,2005,electrolyzer,5.9114
Africa_Southern,H2 central production,solar,electrolysis,2010,electrolyzer,5.9114
Africa_Southern,H2 central production,solar,electrolysis,2015,electrolyzer,5.9114
Africa_Southern,H2 central production,solar,electrolysis,2020,electrolyzer,5.2366
Africa_Southern,H2 central production,solar,electrolysis,2025,electrolyzer,4.5617
Africa_Southern,H2 central production,solar,electrolysis,2030,electrolyzer,3.8869
Africa_Southern,H2 central production,solar,electrolysis,2035,electrolyzer,3.212
Africa_Southern,H2 central production,solar,electrolysis,2040,electrolyzer,2.5371
Africa_Southern,H2 central production,solar,electrolysis,2045,electrolyzer,2.2454
Africa_Southern,H2 central production,solar,electrolysis,2050,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2055,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2060,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2065,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2070,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2075,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2080,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2085,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2090,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2095,electrolyzer,1.9536
Africa_Southern,H2 central production,solar,electrolysis,2100,electrolyzer,1.9536
Africa_Southern,H2 central production,wind,electrolysis,1975,electrolyzer,4.8066
Africa_Southern,H2 central production,wind,electrolysis,1990,electrolyzer,4.8066
Africa_Southern,H2 central production,wind,electrolysis,2005,electrolyzer,4.8066
Africa_Southern,H2 central production,wind,electrolysis,2010,electrolyzer,4.8066
Africa_Southern,H2 central production,wind,electrolysis,2015,electrolyzer,4.8066
Africa_Southern,H2 central production,wind,electrolysis,2020,electrolyzer,4.2595
Africa_Southern,H2 central production,wind,electrolysis,2025,electrolyzer,3.7124
Africa_Southern,H2 central production,wind,electrolysis,2030,electrolyzer,3.1653
Africa_Southern,H2 central production,wind,electrolysis,2035,electrolyzer,2.6182
Africa_Southern,H2 central production,wind,electrolysis,2040,electrolyzer,2.0711
Africa_Southern,H2 central production,wind,electrolysis,2045,electrolyzer,1.833
Africa_Southern,H2 central production,wind,electrolysis,2050,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2055,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2060,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2065,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2070,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2075,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2080,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2085,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2090,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2095,electrolyzer,1.5948
Africa_Southern,H2 central production,wind,electrolysis,2100,electrolyzer,1.5948
Africa_Western,H2 central production,solar,electrolysis,1975,electrolyzer,5.9534
Africa_Western,H2 central production,solar,electrolysis,1990,electrolyzer,5.9534
Africa_Western,H2 central production,solar,electrolysis,2005,electrolyzer,5.9534
Africa_Western,H2 central production,solar,electrolysis,2010,electrolyzer,5.9534
Africa_Western,H2 central production,solar,electrolysis,2015,electrolyzer,5.9534
Africa_Western,H2 central production,solar,electrolysis,2020,electrolyzer,5.2737
Africa_Western,H2 central production,solar,electrolysis,2025,electrolyzer,4.594
Africa_Western,H2 central production,solar,electrolysis,2030,electrolyzer,3.9143
Africa_Western,H2 central production,solar,electrolysis,2035,electrolyzer,3.2346
Africa_Western,H2 central production,solar,electrolysis,2040,electrolyzer,2.5548
Africa_Western,H2 central production,solar,electrolysis,2045,electrolyzer,2.261
Africa_Western,H2 central production,solar,electrolysis,2050,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2055,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2060,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2065,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2070,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2075,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2080,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2085,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2090,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2095,electrolyzer,1.9672
Africa_Western,H2 central production,solar,electrolysis,2100,electrolyzer,1.9672
Africa_Western,H2 central production,wind,electrolysis,1975,electrolyzer,3.9071
Africa_Western,H2 central production,wind,electrolysis,1990,electrolyzer,3.9071
Africa_Western,H2 central production,wind,electrolysis,2005,electrolyzer,3.9071
Africa_Western,H2 central production,wind,electrolysis,2010,electrolyzer,3.9071
Africa_Western,H2 central production,wind,electrolysis,2015,electrolyzer,3.9071
Africa_Western,H2 central production,wind,electrolysis,2020,electrolyzer,3.464
Africa_Western,H2 central production,wind,electrolysis,2025,electrolyzer,3.0209
Africa_Western,H2 central production,wind,electrolysis,2030,electrolyzer,2.5778
Africa_Western,H2 central production,wind,electrolysis,2035,electrolyzer,2.1348
Africa_Western,H2 central production,wind,electrolysis,2040,electrolyzer,1.6917
Africa_Western,H2 central production,wind,electrolysis,2045,electrolyzer,1.4972
Africa_Western,H2 central production,wind,electrolysis,2050,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2055,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2060,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2065,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2070,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2075,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2080,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2085,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2090,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2095,electrolyzer,1.3026
Africa_Western,H2 central production,wind,electrolysis,2100,electrolyzer,1.3026
Argentina,H2 central production,solar,electrolysis,1975,electrolyzer,6.9798
Argentina,H2 central production,solar,electrolysis,1990,electrolyzer,6.9798
Argentina,H2 central production,solar,electrolysis,2005,electrolyzer,6.9798
