region,club
Africa_Eastern,NonOECD
Africa_Northern,NonOECD
Africa_Southern,NonOECD
Africa_Western,NonOECD
Argentina,NonOECD
Australia_NZ,OECD
Brazil,NonOECD
Canada,OECD
Central America and Caribbean,NonOECD
Central Asia,NonOECD
China,NonOECD
Colombia,OECD
EU-12,OECD
EU-15,OECD
Europe_Eastern,NonOECD
Europe_Non_EU,OECD
European Free Trade Association,OECD
India,NonOECD
Indonesia,NonOECD
Japan,OECD
Mexico,OECD
Middle East,NonOECD
Pakistan,NonOECD
Russia,NonOECD
South Africa,NonOECD
South America_Northern,NonOECD
South America_Southern,NonOECD
South Asia,NonOECD
South Korea,OECD
Southeast Asia,NonOECD
Taiwan,NonOECD
USA,OECD
