sector.name,subsector.name,technology,minicam.non.energy.input,units,input.cost,year
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,1975
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,1990
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,2005
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,2010
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,2015
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.3498,2020
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.2691,2025
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.1912,2030
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.116,2035
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.0433,2040
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.9732,2045
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.9054,2050
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.84,2055
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2060
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2065
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2070
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2075
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2080
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2085
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2090
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2095
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8007,2100
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,1975
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,1990
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,2005
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,2010
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,2015
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.3417,2020
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,1.9849,2025
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,1.6825,2030
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,1.4262,2035
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,1.2089,2040
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,1.0247,2045
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2050
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2055
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2060
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2065
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2070
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2075
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2080
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2085
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2090
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2095
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.9393,2100
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,1975
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,1990
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,2005
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,2010
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,2015
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7324,2020
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7145,2025
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6971,2030
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6801,2035
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6635,2040
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6473,2045
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6315,2050
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6161,2055
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6011,2060
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5864,2065
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5856,2070
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5856,2075
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5856,2080
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5856,2085
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5856,2090
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5856,2095
