sector.name,subsector.name,technology,minicam.non.energy.input,units,input.cost,year
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,1975
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,1990
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,2005
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,2010
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.4334,2015
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.3498,2020
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.188410344197236,2025
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,2.0381053002763916,2030
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.8981235516588937,2035
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.7677560707356879,2040
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.646342527540829,2045
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.5332679450856128,2050
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.4279595844120325,2055
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.3298840435879131,2060
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.2385445559497135,2065
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.19235,2070
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.19235,2075
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.19235,2080
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.19235,2085
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.19235,2090
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.19235,2095
H2 central production,biomass,biomass to H2,non-energy,$1975/GJ H2,1.19235,2100
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,1975
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,1990
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,2005
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,2010
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.7625,2015
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,2.3417,2020
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,1.6281936247315385,2025
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,1.1320897124381544,2030
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.7871466252790553,2035
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2040
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2045
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2050
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2055
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2060
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2065
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2070
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2075
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2080
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2085
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2090
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2095
H2 central production,electricity,electrolysis,non-energy,$1975/GJ H2,0.690625,2100
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,1975
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,1990
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,2005
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,2010
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7507,2015
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.7324,2020
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.696669115640921,2025
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6626813990823361,2030
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.6303518080971864,2035
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5995994493305876,2040
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5703473758928506,2045
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5425223948271328,2050
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.5160548839699799,2055
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.49087861774651004,2060
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.4669306014643622,2065
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.44415091369178117,2070
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.42248255632545084,2075
H2 central production,gas,natural gas steam reforming,non-energy,$1975/GJ H2,0.40187131197292114,2080
