region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
USA,H2 central production,solar,electrolysis,1975,solar panels,23.463559294640604
Africa_Eastern,H2 central production,solar,electrolysis,1975,solar panels,16.619424161358808
Africa_Northern,H2 central production,solar,electrolysis,1975,solar panels,16.747807620334424
Africa_Southern,H2 central production,solar,electrolysis,1975,solar panels,17.030898420702762
Africa_Western,H2 central production,solar,electrolysis,1975,solar panels,17.153598850042968
Australia_NZ,H2 central production,solar,electrolysis,1975,solar panels,17.21961675891952
Brazil,H2 central production,solar,electrolysis,1975,solar panels,19.020846051860357
Canada,H2 central production,solar,electrolysis,1975,solar panels,36.15882171664112
Central America and Caribbean,H2 central production,solar,electrolysis,1975,solar panels,18.67137979329787
Central Asia,H2 central production,solar,electrolysis,1975,solar panels,21.85957013581584
China,H2 central production,solar,electrolysis,1975,solar panels,19.5623646155691
EU-12,H2 central production,solar,electrolysis,1975,solar panels,28.351441654532746
EU-15,H2 central production,solar,electrolysis,1975,solar panels,25.61781053060307
Europe_Eastern,H2 central production,solar,electrolysis,1975,solar panels,28.810917099632213
Europe_Non_EU,H2 central production,solar,electrolysis,1975,solar panels,21.375741179571776
European Free Trade Association,H2 central production,solar,electrolysis,1975,solar panels,42.69765981883162
India,H2 central production,solar,electrolysis,1975,solar panels,18.971154486161407
Indonesia,H2 central production,solar,electrolysis,1975,solar panels,20.247781125846522
Japan,H2 central production,solar,electrolysis,1975,solar panels,24.81317313430644
Mexico,H2 central production,solar,electrolysis,1975,solar panels,17.48193198243273
Middle East,H2 central production,solar,electrolysis,1975,solar panels,17.144148988368386
Pakistan,H2 central production,solar,electrolysis,1975,solar panels,18.07543801232845
Russia,H2 central production,solar,electrolysis,1975,solar panels,36.037858140093164
South Africa,H2 central production,solar,electrolysis,1975,solar panels,16.99358608516723
South America_Northern,H2 central production,solar,electrolysis,1975,solar panels,19.30529608466603
South America_Southern,H2 central production,solar,electrolysis,1975,solar panels,19.499428759854
