sector.name,subsector.name,technology,year,minicam.energy.input,coefficient
iron and steel,BLASTFUR,Biomass-based,2015,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2020,delivered biomass,0.0167779
iron and steel,BLASTFUR,Biomass-based,2025,delivered biomass,0.01636745028133125
iron and steel,BLASTFUR,Biomass-based,2030,delivered biomass,0.0159570005626625
iron and steel,BLASTFUR,Biomass-based,2035,delivered biomass,0.01554655084399375
iron and steel,BLASTFUR,Biomass-based,2040,delivered biomass,0.015136101125325001
iron and steel,BLASTFUR,Biomass-based,2045,delivered biomass,0.014725651406656251
iron and steel,BLASTFUR,Biomass-based,2050,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2055,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2060,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2065,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2070,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2075,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2080,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2085,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2090,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2095,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2100,delivered biomass,0.014315201687987502
iron and steel,BLASTFUR,Biomass-based,2015,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2020,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,Biomass-based,2025,elect_td_ind,5.347889929148339e-4
iron and steel,BLASTFUR,Biomass-based,2030,elect_td_ind,5.213779858296677e-4
iron and steel,BLASTFUR,Biomass-based,2035,elect_td_ind,5.079669787445017e-4
iron and steel,BLASTFUR,Biomass-based,2040,elect_td_ind,4.945559716593356e-4
iron and steel,BLASTFUR,Biomass-based,2045,elect_td_ind,4.811449645741694e-4
iron and steel,BLASTFUR,Biomass-based,2050,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2055,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2060,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2065,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2070,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2075,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2080,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2085,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2090,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2095,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2100,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,Biomass-based,2015,refined liquids industrial,9.999999999999999e-6
iron and steel,BLASTFUR,Biomass-based,2020,refined liquids industrial,9.999999999999999e-6
iron and steel,BLASTFUR,Biomass-based,2025,refined liquids industrial,9.755362876957933e-6
iron and steel,BLASTFUR,Biomass-based,2030,refined liquids industrial,9.510725753915866e-6
iron and steel,BLASTFUR,Biomass-based,2035,refined liquids industrial,9.266088630873798e-6
iron and steel,BLASTFUR,Biomass-based,2040,refined liquids industrial,9.021451507831732e-6
iron and steel,BLASTFUR,Biomass-based,2045,refined liquids industrial,8.776814384789665e-6
iron and steel,BLASTFUR,Biomass-based,2050,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2055,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2060,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2065,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2070,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2075,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2080,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2085,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2090,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2095,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2100,refined liquids industrial,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2015,wholesale gas,9.999999999999999e-6
iron and steel,BLASTFUR,Biomass-based,2020,wholesale gas,9.999999999999999e-6
iron and steel,BLASTFUR,Biomass-based,2025,wholesale gas,9.755362876957933e-6
iron and steel,BLASTFUR,Biomass-based,2030,wholesale gas,9.510725753915866e-6
iron and steel,BLASTFUR,Biomass-based,2035,wholesale gas,9.266088630873798e-6
iron and steel,BLASTFUR,Biomass-based,2040,wholesale gas,9.021451507831732e-6
iron and steel,BLASTFUR,Biomass-based,2045,wholesale gas,8.776814384789665e-6
iron and steel,BLASTFUR,Biomass-based,2050,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2055,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2060,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2065,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2070,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2075,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2080,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2085,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2090,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2095,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,Biomass-based,2100,wholesale gas,8.532177261747599e-6
iron and steel,BLASTFUR,BLASTFUR,2015,delivered coal,0.0167779
iron and steel,BLASTFUR,BLASTFUR,2020,delivered coal,0.0167779
iron and steel,BLASTFUR,BLASTFUR,2025,delivered coal,0.01636745028133125
iron and steel,BLASTFUR,BLASTFUR,2030,delivered coal,0.0159570005626625
iron and steel,BLASTFUR,BLASTFUR,2035,delivered coal,0.01554655084399375
iron and steel,BLASTFUR,BLASTFUR,2040,delivered coal,0.015136101125325001
iron and steel,BLASTFUR,BLASTFUR,2045,delivered coal,0.014725651406656251
iron and steel,BLASTFUR,BLASTFUR,2050,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2055,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2060,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2065,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2070,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2075,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2080,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2085,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2090,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2095,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2100,delivered coal,0.014315201687987502
iron and steel,BLASTFUR,BLASTFUR,2015,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,BLASTFUR,2020,elect_td_ind,5.482e-4
iron and steel,BLASTFUR,BLASTFUR,2025,elect_td_ind,5.347889929148339e-4
iron and steel,BLASTFUR,BLASTFUR,2030,elect_td_ind,5.213779858296677e-4
iron and steel,BLASTFUR,BLASTFUR,2035,elect_td_ind,5.079669787445017e-4
iron and steel,BLASTFUR,BLASTFUR,2040,elect_td_ind,4.945559716593356e-4
iron and steel,BLASTFUR,BLASTFUR,2045,elect_td_ind,4.811449645741694e-4
iron and steel,BLASTFUR,BLASTFUR,2050,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,BLASTFUR,2055,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,BLASTFUR,2060,elect_td_ind,4.6773395748900336e-4
iron and steel,BLASTFUR,BLASTFUR,2065,elect_td_ind,4.6773395748900336e-4
