region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,year,coefficient
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2015,0.0167779
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2020,0.0167779
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2025,0.016218636666666664
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2030,0.015659373333333334
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2035,0.01510011
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2040,0.014540846666666668
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2045,0.013981583333333334
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2050,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2055,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2060,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2065,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2070,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2075,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2080,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2085,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2090,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2095,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,delivered biomass,Africa_Eastern,2100,0.013422320000000001
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2015,0.0408115
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2020,0.0408115
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2025,0.03945111666666667
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2030,0.038090733333333335
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2035,0.03673035
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2040,0.03536996666666667
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2045,0.034009583333333336
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2050,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2055,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2060,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2065,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2070,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2075,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2080,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2085,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2090,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2095,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,Africa_Eastern,2100,0.0326492
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2015,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2020,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2025,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2030,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2035,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2040,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2045,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2050,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2055,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2060,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2065,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2070,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2075,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2080,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2085,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2090,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2095,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Africa_Eastern,2100,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2015,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2020,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2025,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2030,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2035,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2040,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2045,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2050,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2055,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2060,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2065,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2070,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2075,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2080,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2085,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2090,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2095,0
Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Africa_Eastern,2100,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2015,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2020,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2025,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2030,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2035,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2040,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2045,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2050,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2055,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2060,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2065,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2070,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2075,0
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Africa_Eastern,2080,0
