region,steel_region
USA,US
Africa_Eastern,ROW
Africa_Northern,ROW
Africa_Southern,ROW
Africa_Western,ROW
Australia_NZ,ROW
Brazil,ROW
Canada,ROW
Central America and Caribbean,ROW
Central Asia,ROW
China,China
EU-12,EU
EU-15,EU
Europe_Eastern,ROW
Europe_Non_EU,ROW
European Free Trade Association,ROW
India,India
Indonesia,ROW
Japan,Japan
Mexico,ROW
Middle East,ROW
Pakistan,ROW
Russia,ROW
South Africa,ROW
South America_Northern,ROW
South America_Southern,ROW
South Asia,ROW
South Korea,South Korea
Southeast Asia,ROW
Taiwan,ROW
Argentina,ROW
Colombia,ROW
Global,Global
